"","","OVERALL","","","","","","","","","GOVERMENT","","","","","NON GOVERMENT","","","",""
"OFFICE TYPE","UNIT NAME","Input Energy Prog (MU)","Unit Sold Prog (MU)","Distribution Loss Prog (%)","Current Assessment With ED Prog (Lakh)","Realisation Prog(Lakh)","% Realisation Prog","ATC Loss","Realisation Rate Input Prog (Rs / Unit)","Realisation Rate Sold Prog (Rs / Unit)","Unit Sold Prog Govt (MU)","Current Assessment With ED Prog Govt (Lakh)","Realisation Prog Govt (Lakh)","% Realisation Prog Govt","ATC Loss Prog Govt","Unit Sold Prog Non Govt (MU)","Current Assessment With ED Prog on Govt (Lakh)","Realisation Prog Non Govt (Lakh)","% Realisation Prog Non Govt","ATC Loss Prog Non Govt"
"DIVISION","EDD I AGRA","108.129","65.170356","39.729068","3823.974057","5013.699024","131.112266","20.977415","4.636776","7.69322","4.107164","368.545505","1609.234486","436.64472","-163.169842","61.063192","3455.428553","3404.464538","98.525103","40.618002"
"DIVISION","EDD II AGRA","61.868","45.097962","27.106158","3161.678864","2771.649632","87.663857","36.098447","4.479941","6.145842","0.590149","69.148107","300.5662","434.67018","-216.847794","44.507813","3092.530758","2471.083432","79.904894","41.754253"
"DIVISION","EDD IV KIRAWALI","59.106","41.84581","29.202095","2268.852582","1042.77745","45.960564","67.460884","1.76425","2.491952","4.17063","350.921427","96.72125","27.562082","80.486623","37.67518","1917.931155","946.0562","49.326911","65.07758"
"DIVISION","EDD KHERAGARH","52.803","33.88877","35.82037","1453.059699","1176.940638","80.997404","48.016166","2.228928","3.472952","2.820748","266.092695","101.7563","38.240922","75.457118","31.068022","1186.967004","1075.184338","90.582496","41.864489"
"CIRCLE","EDC AGRA","281.906","186.002898","34.019532","10707.565203","10005.066744","93.439232","38.348357","3.549079","5.378984","11.688691","1054.707734","2108.278236","199.892176","-31.889793","174.314207","9652.857469","7896.788507","81.807781","46.022843"
"DIVISION","EDD BAH","70.83","57.409299","18.947764","2772.403682","1709.935395","61.676999","50.009413","2.41414","2.978499","12.453487","1583.968696","303.941322","19.188594","84.447216","44.955812","1188.434986","1405.994073","118.306352","4.110056"
"DIVISION","EDD ETMADPUR","82.97","56.622266","31.755736","2918.257236","2007.873126","68.803843","53.045324","2.419999","3.546084","1.733975","198.513779","31.83474","16.036539","89.055982","54.888291","2719.743457","1976.038386","72.655323","50.41691"
"DIVISION","EDD III AGRA","114.62","88.692337","22.62054","4095.163541","2334.486914","57.005951","55.889103","2.036719","2.632118","1.518744","158.559019","113.2634","71.43296","44.725561","87.173593","3936.604522","2221.223514","56.424858","56.33875"
"CIRCLE","EDC FATEHABAD","268.42","202.723903","24.475113","9785.824459","6052.295435","61.847578","53.289687","2.254786","2.985487","15.706206","1941.041494","449.039462","23.133945","82.528114","187.017697","7844.782965","5603.255973","71.426526","46.055197"
"ZONE","AGRA","550.326","388.7268","29.364268","20493.389662","16057.362179","78.353862","44.654176","2.917791","4.130758","27.394897","2995.749228","2557.317699","85.364879","39.701893","361.331903","17497.640434","13500.04448","77.153514","45.502051"
